# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       5.7805305     0.016059367      0.15714544
3.000       5.9061942     0.015618130      0.16301308
3.000       6.0318579     0.015359159      0.17076191
3.000       6.1575216     0.014698988      0.17385033
3.000       6.2831853     0.014179426      0.17818392
3.000       6.4088490     0.013618297      0.18160725
3.000       6.5345127     0.013316902      0.18824051
3.000       6.6601764     0.012770074      0.19112648
3.000       6.7858401     0.012717966      0.20132550
3.000       6.9115038     0.012428035      0.20786932
3.000       7.0371675     0.012312483      0.21737499
3.000       7.1628313     0.011796614      0.21962501
3.000       7.2884950     0.011752541      0.23052370
3.000       7.4141587     0.011099377      0.22916827
3.000       7.5398224     0.010988093      0.23860301
3.000       7.6654861     0.010722819      0.24467992
3.000       7.7911498     0.010536641      0.25245100
3.000       7.9168135     0.010444489      0.26254799
3.000       8.0424772     0.010068196      0.26533310
3.000       8.2938046    0.0099919909      0.28879102
3.000       8.5451320    0.0093109950      0.29432197
3.000       8.7964594    0.0089476717      0.30853470
3.000       9.0477868    0.0089329213      0.33518984
3.000       9.2991143    0.0083821530      0.34146846
3.000       9.5504417    0.0084519003      0.37298812
3.000       9.8017691    0.0081704499      0.38978905
3.000       10.053096    0.0079490944      0.40915462
3.000       10.304424    0.0077028976      0.42696820
3.000       10.555751    0.0075840462      0.45189619
3.000       10.807079    0.0075402510      0.48214871
3.000       11.058406    0.0074278140      0.50887239
3.000       11.309734    0.0071034616      0.52059191
3.000       11.561061    0.0070150633      0.54915498
3.000       11.812388    0.0070925659      0.59222508
3.000       12.063716    0.0067561147      0.60091157
3.000       12.315043    0.0066641807      0.63055772
3.000       12.566371    0.0065503601      0.65851402
3.000       12.817698    0.0063442350      0.67683005
3.000       13.069025    0.0062484700      0.70659988
3.000       13.320353    0.0062284632      0.74575874
3.000       13.571680    0.0061260945      0.77580899
3.000       13.823008    0.0060815764      0.81375575
3.000       14.074335    0.0058880254      0.83161745
3.000       14.325663    0.0057792622      0.86076937
3.000       14.576990    0.0057076630      0.89563724
3.000       14.828317    0.0055937076      0.92394397
3.000       15.079645    0.0054448143      0.94585957
3.000       15.330972    0.0054505763      0.99499699
3.000       15.582300    0.0052877978       1.0135373
3.000       15.833627    0.0051368539       1.0330199
3.000       16.084954    0.0051469404       1.0851228
3.000       16.587609    0.0048318872       1.1172193
3.000       17.090264    0.0048084800       1.2159743
3.000       17.592919    0.0046153353       1.2731724
3.000       18.095574    0.0045442752       1.3641180
3.000       18.598229    0.0044345706       1.4452287
3.000       19.100883    0.0042841621       1.5125039
3.000       19.603538    0.0041028247       1.5658733
3.000       20.106193    0.0042857052       1.7647455
3.000       20.608848    0.0040619215       1.8012041
3.000       21.111503    0.0039579349       1.8866717
3.000       21.614157    0.0037837019       1.9355398
3.000       22.116812    0.0037181306       2.0378044
3.000       22.619467    0.0037224843       2.1824799
3.000       23.122122    0.0035833591       2.2441075
3.000       23.624777    0.0035471614       2.3694871
3.000       24.127432    0.0034060060       2.4235330
3.000       24.630086    0.0033839375       2.5614766
3.000       25.132741    0.0032501873       2.6139557
3.000       25.635396    0.0032442095       2.7688488
3.000       26.138051    0.0031943372       2.8898188
3.000       26.640706    0.0030652158       2.9360841
3.000       27.143361    0.0030302331       3.0699913
3.000       27.646015    0.0029624471       3.1711625
3.000       28.148670    0.0029463666       3.3291295
3.000       28.651325    0.0028890423       3.4423759
3.000       29.153980    0.0028360413       3.5602161
3.000       29.656635    0.0028207927       3.7274088
3.000       30.159289    0.0027434574       3.8126927
3.000       30.661944    0.0026629824       3.8889972
3.000       31.164599    0.0026100543       4.0022521
3.000       31.667254    0.0025831186       4.1557157
3.000       32.169909    0.0025427683       4.2887085
3.000       33.175218    0.0024534041       4.5381695
3.000       34.180528    0.0025182504       5.0945457
3.000       35.185838    0.0024900357       5.4951496
3.000       36.191147    0.0022894089       5.4979488
3.000       37.196457    0.0022027878       5.7431168
3.000       38.201767    0.0021758164       6.1452966
3.000       39.207076    0.0020953756       6.3977243
3.000       40.212386    0.0020496249       6.7518715
3.000       41.217696    0.0019671891       6.9785869
