# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.63234291       8.4326297
3.000       6.5345127      0.61461380       8.6878475
3.000       6.6601764      0.59437735       8.8958963
3.000       6.7858401      0.58788683       9.3062532
3.000       6.9115038      0.57729183       9.6556903
3.000       7.0371675      0.55824602       9.8557475
3.000       7.1628313      0.54268924       10.103588
3.000       7.2884950      0.53551012       10.503923
3.000       7.4141587      0.50880864       10.505346
3.000       7.5398224      0.50295968       10.921613
3.000       7.6654861      0.48471863       11.060610
3.000       7.7911498      0.48147193       11.535751
3.000       7.9168135      0.47327022       11.896814
3.000       8.0424772      0.45876068       12.089991
3.000       8.2938046      0.44348373       12.817678
3.000       8.5451320      0.41553953       13.135268
3.000       8.7964594      0.39946417       13.774372
3.000       9.0477868      0.40048746       15.027484
3.000       9.2991143      0.38062100       15.505571
3.000       9.5504417      0.36715443       16.202775
3.000       9.8017691      0.35303223       16.842169
3.000       10.053096      0.33872497       17.434802
3.000       10.304424      0.32877699       18.223963
3.000       10.555751      0.31763344       18.926222
3.000       10.807079      0.31486941       20.133796
3.000       11.058406      0.30884998       21.159015
3.000       11.309734      0.29444931       21.579328
3.000       11.561061      0.28903035       22.625948
3.000       11.812388      0.28555989       23.844083
3.000       12.063716      0.27199056       24.191755
3.000       12.315043      0.26438509       25.015837
3.000       12.566371      0.25560967       25.696687
3.000       12.817698      0.24523082       26.162270
3.000       13.069025      0.24225672       27.395277
3.000       13.320353      0.23876170       28.587891
3.000       13.571680      0.23440818       29.685466
3.000       13.823008      0.22744566       30.433756
3.000       14.074335      0.21783314       30.766484
3.000       14.325663      0.21464924       31.970082
3.000       14.576990      0.21033336       33.005170
3.000       14.828317      0.20116177       33.227015
3.000       15.079645      0.19994028       34.733128
3.000       15.330972      0.19430088       35.469423
3.000       15.582300      0.19115185       36.638983
3.000       15.833627      0.18397684       36.997694
3.000       16.084954      0.18116023       38.193779
3.000       16.587609      0.16784711       38.809273
3.000       17.090264      0.16366007       41.386557
3.000       17.592919      0.15832397       43.674770
3.000       18.095574      0.15304779       45.942474
3.000       18.598229      0.14855166       48.413058
3.000       19.100883      0.13877057       48.992318
3.000       19.603538      0.13303189       50.772601
3.000       20.106193      0.12988669       53.484070
3.000       20.608848      0.12412803       55.042892
3.000       21.111503      0.12196849       58.140041
3.000       21.614157      0.11645974       59.574585
3.000       22.116812      0.11378460       62.362186
3.000       22.619467      0.10936475       64.120177
3.000       23.122122      0.10643259       66.654266
3.000       23.624777      0.10121603       67.611831
3.000       24.127432     0.098330444       69.966723
3.000       24.630086     0.096269613       72.871430
3.000       25.132741     0.095494632       76.801340
3.000       25.635396     0.089952371       76.772020
3.000       26.138051     0.086503768       78.257303
3.000       26.640706     0.084101188       80.558165
3.000       27.143361     0.082163166       83.241188
3.000       27.646015     0.080116754       85.761276
3.000       28.148670     0.077239012       87.273142
3.000       28.651325     0.075467255       89.921376
3.000       29.153980     0.073715683       92.538765
3.000       29.656635     0.072282048       95.513841
3.000       30.159289     0.069059688       95.975014
3.000       30.661944     0.068930029       100.66484
3.000       31.164599     0.066714770       102.30029
3.000       31.667254     0.063863608       102.74364
3.000       32.169909     0.062573678       105.53863
3.000       33.175218     0.060174046       111.30658
3.000       34.180528     0.055952010       113.19370
3.000       35.185838     0.054538640       120.35891
3.000       36.191147     0.053631973       128.79562
3.000       37.196457     0.050977285       132.90817
3.000       38.201767     0.048545905       137.11128
3.000       39.207076     0.048116093       146.91089
3.000       40.212386     0.045112555       148.60972
3.000       41.217696     0.041934460       148.76215
3.000       42.223005     0.041374881       157.78090
3.000       43.228315     0.041027705       167.90066
3.000       44.233625     0.038598172       169.23671
3.000       45.238934     0.037210490       174.53107
3.000       46.244244     0.035893098       179.82673
3.000       47.249554     0.034920305       186.61279
3.000       48.254863     0.033127505       188.57419
3.000       49.260173     0.032041168       194.02889
3.000       50.265482     0.032222355       207.31805
3.000       51.270792     0.032004796       218.52212
3.000       52.276102     0.031098533       225.07111
3.000       53.281411     0.029336925       224.80813
3.000       54.286721     0.029707349       240.77699
3.000       55.292031     0.026954396       230.82747
3.000       56.297340     0.026931691       243.44312
3.000       57.302650     0.026663743       254.16485
3.000       58.307960     0.026262530       263.74872
3.000       59.313269     0.025524893       269.82972
3.000       60.318579     0.025942508       288.42674
3.000       61.323889     0.025102952       293.28112
3.000       62.329198     0.023874306       292.87050
3.000       63.334508     0.024398867       314.02275
3.000       64.339818     0.023264657       313.91089
3.000       66.350437     0.021178997       313.40579
3.000       68.361056     0.021087367       341.28634
3.000       70.371675     0.022280381       393.35669
3.000       72.382295     0.020188894       387.86432
3.000       74.392914     0.018971763       395.70602
3.000       76.403533     0.018539885       418.90702
3.000       78.414153     0.018828457       459.90522
3.000       80.424772     0.018874634       497.41435
3.000       82.435391     0.018484939       524.60134
3.000       84.446011     0.018208943       555.51067
3.000       86.456630     0.017632252       577.26197
3.000       88.467249     0.015624059       548.03931
3.000       90.477868     0.016344056       613.27770
3.000       92.488488     0.015825365       634.28878
3.000       94.499107     0.016249148       694.67868
3.000       96.509726     0.015105346       687.88240
3.000       98.520346     0.015182443       735.51190
3.000       100.53096     0.014191159       730.44529
3.000       102.54158     0.014998899       819.27504
3.000       104.55220     0.013789303       798.38462
3.000       106.56282     0.014327051       878.30270
3.000       108.57344     0.014129863       916.17623
