# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.63219950       8.4307173
3.000       6.5345127      0.61734087       8.7263959
3.000       6.6601764      0.59494662       8.9044164
3.000       6.7858401      0.58715963       9.2947416
3.000       6.9115038      0.57560951       9.6275522
3.000       7.0371675      0.56771917       10.022994
3.000       7.1628313      0.54641869       10.173021
3.000       7.2884950      0.53828307       10.558313
3.000       7.4141587      0.51136775       10.558184
3.000       7.5398224      0.50283707       10.918950
3.000       7.6654861      0.49158335       11.217253
3.000       7.7911498      0.48276178       11.566656
3.000       7.9168135      0.47448999       11.927476
3.000       8.0424772      0.45880897       12.091263
3.000       8.2938046      0.44805416       12.949773
3.000       8.5451320      0.41844822       13.227212
3.000       8.7964594      0.39891930       13.755584
3.000       9.0477868      0.39696970       14.895487
3.000       9.2991143      0.37250931       15.175120
3.000       9.5504417      0.36845594       16.260212
3.000       9.8017691      0.35447686       16.911088
3.000       10.053096      0.34195914       17.601271
3.000       10.304424      0.33034189       18.310705
3.000       10.555751      0.31866234       18.987529
3.000       10.807079      0.31698981       20.269382
3.000       11.058406      0.30936708       21.194441
3.000       11.309734      0.29453372       21.585515
3.000       11.561061      0.29101192       22.781069
3.000       11.812388      0.28861946       24.099555
3.000       12.063716      0.27210021       24.201508
3.000       12.315043      0.26595824       25.164687
3.000       12.566371      0.25984878       26.122849
3.000       12.817698      0.25091874       26.769081
3.000       13.069025      0.24451448       27.650593
3.000       13.320353      0.24165355       28.934143
3.000       13.571680      0.23596032       29.882030
3.000       13.823008      0.23352797       31.247611
3.000       14.074335      0.22354936       31.573836
3.000       14.325663      0.21832413       32.517425
3.000       14.576990      0.21315949       33.448642
3.000       14.828317      0.20780057       34.323582
3.000       15.079645      0.20171033       35.040615
3.000       15.330972      0.20001913       36.513283
3.000       15.582300      0.19310852       37.014027
3.000       15.833627      0.18551805       37.307630
3.000       16.084954      0.18475473       38.951601
3.000       16.587609      0.16845377       38.949543
3.000       17.090264      0.16768162       42.403532
3.000       17.592919      0.15835689       43.683851
3.000       18.095574      0.15640658       46.950729
3.000       18.598229      0.14898710       48.554966
3.000       19.100883      0.14263773       50.357601
3.000       19.603538      0.13555408       51.735213
3.000       20.106193      0.13677410       56.320132
3.000       20.608848      0.13123214       58.193116
3.000       21.111503      0.12405070       59.132592
3.000       21.614157      0.11945317       61.105859
3.000       22.116812      0.11346343       62.186164
3.000       22.619467      0.11328083       66.416162
3.000       23.122122      0.10686638       66.925929
3.000       23.624777      0.10579177       70.668401
3.000       24.127432      0.10095465       71.833968
3.000       24.630086     0.099129747       75.036412
3.000       25.132741     0.095114279       76.495442
3.000       25.635396     0.093539756       79.833760
3.000       26.138051     0.089777524       81.218970
3.000       26.640706     0.085385904       81.788758
3.000       27.143361     0.083210558       84.302323
3.000       27.646015     0.082059919       87.841345
3.000       28.148670     0.080022852       90.418632
3.000       28.651325     0.079041917       94.180687
3.000       29.153980     0.076095018       95.525656
3.000       29.656635     0.074497053       98.440759
3.000       30.159289     0.072449280       100.68567
3.000       30.661944     0.070461124       102.90083
