# k_mean_over_bin [h Mpc^-1] P_bin [h^-3 Mpc^3] N_modes
1.184378117322921753e-01 3.672658854166666515e+03 1.800000000000000000e+01
2.070391476154327393e-01 2.089920866935483900e+03 6.200000000000000000e+01
2.908789345196315379e-01 1.324075573979591809e+03 9.800000000000000000e+01
3.768593328339712722e-01 9.425535714285715585e+02 2.100000000000000000e+02
4.731028360979897540e-01 7.132303124999999682e+02 3.500000000000000000e+02
5.681715165244208832e-01 5.741001041666667106e+02 4.500000000000000000e+02
6.563231305426537876e-01 4.914042254983388602e+02 6.020000000000000000e+02
7.448014471474595499e-01 4.351777805118110223e+02 7.620000000000000000e+02
8.406094579897077645e-01 3.988322022767075055e+02 1.142000000000000000e+03
9.367566649436950277e-01 3.687958500000000299e+02 1.250000000000000000e+03
1.026586147656329606e+00 3.269187242798353736e+02 1.458000000000000000e+03
1.116414886588167121e+00 2.929967268467475492e+02 1.814000000000000000e+03
1.210674833550816620e+00 2.702236283287419383e+02 2.178000000000000000e+03
1.304317067870147007e+00 2.684570656525219761e+02 2.498000000000000000e+03
1.393679625655202647e+00 2.328942124332570813e+02 2.622000000000000000e+03
1.485376695018103099e+00 2.225666379568604043e+02 3.338000000000000000e+03
1.580706365642721822e+00 2.142152236700698609e+02 3.722000000000000000e+03
1.675439816756214118e+00 1.942583483213429361e+02 4.170000000000000000e+03
1.766748569109068967e+00 1.904201181734740658e+02 4.358000000000000000e+03
1.857907787172577319e+00 1.704688369090186768e+02 5.034000000000000000e+03
1.951978467584782884e+00 1.644018091529576395e+02 5.714000000000000000e+03
2.045143815674776988e+00 1.513421514543630906e+02 5.982000000000000000e+03
2.136626857513732602e+00 1.459513973038473296e+02 6.602000000000000000e+03
2.228263106219062983e+00 1.378836956521739125e+02 7.130000000000000000e+03
2.321607147783730785e+00 1.310591859596713959e+02 8.034000000000000000e+03
2.415682133701881895e+00 1.261122908435974921e+02 8.606000000000000000e+03
2.508500872188494935e+00 1.190538136995367324e+02 9.066000000000000000e+03
2.601200112231977890e+00 1.093257127082915048e+02 9.962000000000000000e+03
2.694235404904984588e+00 1.067906753554502330e+02 1.055000000000000000e+04
2.786566964237315869e+00 9.819128585426688005e+01 1.122600000000000000e+04
2.878995991373462626e+00 9.883229046599703338e+01 1.214600000000000000e+04
2.971084258300282332e+00 9.384815762335396983e+01 1.260600000000000000e+04
3.063445748841999272e+00 8.895582162005506177e+01 1.380200000000000000e+04
3.157146200668978331e+00 8.411363020197912022e+01 1.475400000000000000e+04
3.250117465353520529e+00 8.216518033434249446e+01 1.519400000000000000e+04
3.342583464173539021e+00 7.798564938616749487e+01 1.645400000000000000e+04
3.435721796515438964e+00 7.533183951265010592e+01 1.715400000000000000e+04
3.528640552821692644e+00 7.278787775101281454e+01 1.826600000000000000e+04
3.620705016047159663e+00 6.919232666666667342e+01 1.875000000000000000e+04
3.713051435939641376e+00 6.777154788969062338e+01 2.023400000000000000e+04
3.806600900907894491e+00 6.505297202797203227e+01 2.145000000000000000e+04
3.899856281871081798e+00 6.207745196248065156e+01 2.196200000000000000e+04
3.992461366611169016e+00 5.877549335095047667e+01 2.346200000000000000e+04
4.085101191409068022e+00 5.718936652524748609e+01 2.404200000000000000e+04
4.178281979563425175e+00 5.431939894396052892e+01 2.594600000000000000e+04
4.271026035647396135e+00 5.324389788651505029e+01 2.611800000000000000e+04
4.362660890543303971e+00 5.133043245110157216e+01 2.750600000000000000e+04
4.455056883123517331e+00 4.910141574348035931e+01 2.906600000000000000e+04
4.548567927819362922e+00 4.777408045977011142e+01 3.045000000000000000e+04
4.642183583187295071e+00 4.577303730073719379e+01 3.174200000000000000e+04
4.734802013367645834e+00 4.421445348837209366e+01 3.225000000000000000e+04
4.827364789614712492e+00 4.292476277372262672e+01 3.425000000000000000e+04
4.920584751034896343e+00 4.142452896711231602e+01 3.545400000000000000e+04
5.013359510120526608e+00 3.933986798045781086e+01 3.643400000000000000e+04
5.105449538278729271e+00 3.798962369300992492e+01 3.768200000000000000e+04
5.197645189101115726e+00 3.711797602687433084e+01 3.929400000000000000e+04
5.291033756138419086e+00 3.569164594698981574e+01 4.142600000000000000e+04
5.384218090232210763e+00 3.506879070983692515e+01 4.206600000000000000e+04
5.476570653926369658e+00 3.385726891239365699e+01 4.349000000000000000e+04
5.569480803324708518e+00 3.293547054833486953e+01 4.570200000000000000e+04
5.662608524607503746e+00 3.236371263455848180e+01 4.663400000000000000e+04
5.755555773859691193e+00 3.138640740206780322e+01 4.855400000000000000e+04
5.847514763877561528e+00 3.029619654184570976e+01 4.887000000000000000e+04
5.939621418456699331e+00 2.934621464871784724e+01 5.155400000000000000e+04
6.033286373874003239e+00 2.832976982806433597e+01 5.409000000000000000e+04
6.126578422543857982e+00 2.747851842987074988e+01 5.431400000000000000e+04
6.219411309593654735e+00 2.628626339834826808e+01 5.691000000000000000e+04
6.312091111829910339e+00 2.572570978741171288e+01 5.748200000000000000e+04
6.405038486997678859e+00 2.483253884472008366e+01 6.062600000000000000e+04
6.498048872331137815e+00 2.426270708754043781e+01 6.120600000000000000e+04
6.590076512087833294e+00 2.374636806776410580e+01 6.257000000000000000e+04
6.682696879532136869e+00 2.298886733607180943e+01 6.573000000000000000e+04
6.775704740344614230e+00 2.242971538253906516e+01 6.668600000000000000e+04
6.868912398002730235e+00 2.182080188814600064e+01 6.969800000000000000e+04
6.961799457856091777e+00 2.107125746151429624e+01 7.002600000000000000e+04
7.054359720239174791e+00 2.048102301157452132e+01 7.274600000000000000e+04
