# k_mean_over_bin [h Mpc^-1] P_bin [h^-3 Mpc^3] N_modes
1.184378117322921753e-01 3.664199652777777374e+03 1.800000000000000000e+01
2.070391476154327393e-01 2.077111139112902947e+03 6.200000000000000000e+01
2.908789345196315379e-01 1.308736527423469170e+03 9.800000000000000000e+01
3.768593328339712722e-01 9.255490327380953204e+02 2.100000000000000000e+02
4.731028360979897540e-01 6.927225446428570876e+02 3.500000000000000000e+02
5.681715165244208832e-01 5.530278472222222490e+02 4.500000000000000000e+02
6.563231305426537876e-01 4.714480897009966611e+02 6.020000000000000000e+02
7.448014471474595499e-01 4.121371391076115174e+02 7.620000000000000000e+02
8.406094579897077645e-01 3.743266473292469527e+02 1.142000000000000000e+03
9.367566649436950277e-01 3.426699250000000347e+02 1.250000000000000000e+03
1.026586147656329606e+00 3.020813828875171225e+02 1.458000000000000000e+03
1.116414886588167121e+00 2.683491593164278015e+02 1.814000000000000000e+03
1.210674833550816620e+00 2.470379074839302120e+02 2.178000000000000000e+03
1.304317067870147007e+00 2.442322608086469131e+02 2.498000000000000000e+03
1.393679625655202647e+00 2.120793287566743004e+02 2.622000000000000000e+03
1.485376695018103099e+00 2.010536062013181606e+02 3.338000000000000000e+03
1.580706365642721822e+00 1.927638534390112852e+02 3.722000000000000000e+03
1.675439816756214118e+00 1.739010341726618663e+02 4.170000000000000000e+03
1.766748569109068967e+00 1.693395909821018961e+02 4.358000000000000000e+03
1.857907787172577319e+00 1.506981773937226876e+02 5.034000000000000000e+03
1.951978467584782884e+00 1.450843323416170847e+02 5.714000000000000000e+03
2.045143815674776988e+00 1.321874686559679049e+02 5.982000000000000000e+03
2.136626857513732602e+00 1.272070016661617728e+02 6.602000000000000000e+03
2.228263106219062983e+00 1.199643671107994436e+02 7.130000000000000000e+03
2.321607147783730785e+00 1.129786765621110334e+02 8.034000000000000000e+03
2.415682133701881895e+00 1.079562877643504493e+02 8.606000000000000000e+03
2.508500872188494935e+00 1.003873814251047776e+02 9.066000000000000000e+03
2.601200112231977890e+00 9.145472169243123517e+01 9.962000000000000000e+03
2.694235404904984588e+00 8.803501777251184990e+01 1.055000000000000000e+04
2.786566964237315869e+00 8.015356649741671902e+01 1.122600000000000000e+04
2.878995991373462626e+00 8.004851391404578465e+01 1.214600000000000000e+04
2.971084258300282332e+00 7.575561736474695351e+01 1.260600000000000000e+04
3.063445748841999272e+00 7.096934321112883026e+01 1.380200000000000000e+04
3.157146200668978331e+00 6.635974142605394377e+01 1.475400000000000000e+04
3.250117465353520529e+00 6.436417335790443417e+01 1.519400000000000000e+04
3.342583464173539021e+00 6.025170551233742344e+01 1.645400000000000000e+04
3.435721796515438964e+00 5.771709222338812850e+01 1.715400000000000000e+04
3.528640552821692644e+00 5.524449113106317810e+01 1.826600000000000000e+04
3.620705016047159663e+00 5.192583666666666886e+01 1.875000000000000000e+04
3.713051435939641376e+00 5.048381437184936260e+01 2.023400000000000000e+04
3.806600900907894491e+00 4.774131993006992758e+01 2.145000000000000000e+04
3.899856281871081798e+00 4.521798731900555879e+01 2.196200000000000000e+04
3.992461366611169016e+00 4.227846091552297736e+01 2.346200000000000000e+04
4.085101191409068022e+00 4.086339530821063448e+01 2.404200000000000000e+04
4.178281979563425175e+00 3.832584502428120032e+01 2.594600000000000000e+04
4.271026035647396135e+00 3.687688327973045688e+01 2.611800000000000000e+04
4.362660890543303971e+00 3.513776085217770628e+01 2.750600000000000000e+04
4.455056883123517331e+00 3.340258162457854496e+01 2.906600000000000000e+04
4.548567927819362922e+00 3.192258004926108228e+01 3.045000000000000000e+04
4.642183583187295071e+00 3.032204768130552353e+01 3.174200000000000000e+04
4.734802013367645834e+00 2.898619379844961230e+01 3.225000000000000000e+04
4.827364789614712492e+00 2.787101459854014607e+01 3.425000000000000000e+04
4.920584751034896343e+00 2.639943130535341709e+01 3.545400000000000000e+04
5.013359510120526608e+00 2.488294930559367657e+01 3.643400000000000000e+04
5.105449538278729271e+00 2.374192751180935090e+01 3.768200000000000000e+04
5.197645189101115726e+00 2.266480251437878479e+01 3.929400000000000000e+04
5.291033756138419086e+00 2.155822882972046628e+01 4.142600000000000000e+04
5.384218090232210763e+00 2.088483722008272636e+01 4.206600000000000000e+04
5.476570653926369658e+00 1.999841773971028047e+01 4.349000000000000000e+04
5.569480803324708518e+00 1.916133593715811401e+01 4.570200000000000000e+04
5.662608524607503746e+00 1.854967137710683289e+01 4.663400000000000000e+04
5.755555773859691193e+00 1.785033545125015308e+01 4.855400000000000000e+04
5.847514763877561528e+00 1.698385001023122598e+01 4.887000000000000000e+04
5.939621418456699331e+00 1.618028790200566291e+01 5.155400000000000000e+04
6.033286373874003239e+00 1.541441232205583312e+01 5.409000000000000000e+04
6.126578422543857982e+00 1.466134767279154438e+01 5.431400000000000000e+04
6.219411309593654735e+00 1.396068243718151436e+01 5.691000000000000000e+04
6.312091111829910339e+00 1.343155248599561702e+01 5.748200000000000000e+04
6.405038486997678859e+00 1.278158813875234934e+01 6.062600000000000000e+04
6.498048872331137815e+00 1.238438939809822692e+01 6.120600000000000000e+04
6.590076512087833294e+00 1.189732799264823448e+01 6.257000000000000000e+04
6.682696879532136869e+00 1.141237353567625235e+01 6.573000000000000000e+04
6.775704740344614230e+00 1.100102626488318336e+01 6.668600000000000000e+04
6.868912398002730235e+00 1.049355881804356017e+01 6.969800000000000000e+04
6.961799457856091777e+00 1.001239628852140662e+01 7.002600000000000000e+04
7.054359720239174791e+00 9.571674043933686704e+00 7.274600000000000000e+04
