# k_mean_over_bin [h Mpc^-1] P_bin [h^-3 Mpc^3] N_modes
1.184378117322921753e-01 3.668423611111110858e+03 1.800000000000000000e+01
2.070391476154327393e-01 2.083491179435483900e+03 6.200000000000000000e+01
2.908789345196315379e-01 1.316356744260203868e+03 9.800000000000000000e+01
3.768593328339712722e-01 9.339596726190477511e+02 2.100000000000000000e+02
4.731028360979897540e-01 7.028152232142857656e+02 3.500000000000000000e+02
5.681715165244208832e-01 5.633406944444444662e+02 4.500000000000000000e+02
6.563231305426537876e-01 4.811756125415282668e+02 6.020000000000000000e+02
7.448014471474595499e-01 4.232977362204724159e+02 7.620000000000000000e+02
8.406094579897077645e-01 3.861533493870402935e+02 1.142000000000000000e+03
9.367566649436950277e-01 3.552218750000000114e+02 1.250000000000000000e+03
1.026586147656329606e+00 3.139545610425240056e+02 1.458000000000000000e+03
1.116414886588167121e+00 2.800683227673649185e+02 1.814000000000000000e+03
1.210674833550816620e+00 2.580039313590449979e+02 2.178000000000000000e+03
1.304317067870147007e+00 2.556346076861489109e+02 2.498000000000000000e+03
1.393679625655202647e+00 2.217847063310450153e+02 2.622000000000000000e+03
1.485376695018103099e+00 2.110301452965847773e+02 3.338000000000000000e+03
1.580706365642721822e+00 2.026956609349812197e+02 3.722000000000000000e+03
1.675439816756214118e+00 1.832630095923261422e+02 4.170000000000000000e+03
1.766748569109068967e+00 1.790013767783386811e+02 4.358000000000000000e+03
1.857907787172577319e+00 1.596886670639650276e+02 5.034000000000000000e+03
1.951978467584782884e+00 1.538061668708435263e+02 5.714000000000000000e+03
2.045143815674776988e+00 1.407929726680040119e+02 5.982000000000000000e+03
2.136626857513732602e+00 1.355568767040290936e+02 6.602000000000000000e+03
2.228263106219062983e+00 1.278743250350631229e+02 7.130000000000000000e+03
2.321607147783730785e+00 1.209193427931292035e+02 8.034000000000000000e+03
2.415682133701881895e+00 1.158913330815709912e+02 8.606000000000000000e+03
2.508500872188494935e+00 1.085390676704169408e+02 9.066000000000000000e+03
2.601200112231977890e+00 9.916564821321020418e+01 9.962000000000000000e+03
2.694235404904984588e+00 9.611195497630330919e+01 1.055000000000000000e+04
2.786566964237315869e+00 8.785901590058792010e+01 1.122600000000000000e+04
2.878995991373462626e+00 8.805822904659970618e+01 1.214600000000000000e+04
2.971084258300282332e+00 8.343165952720927692e+01 1.260600000000000000e+04
3.063445748841999272e+00 7.853510360817273295e+01 1.380200000000000000e+04
3.157146200668978331e+00 7.378276230174867578e+01 1.475400000000000000e+04
3.250117465353520529e+00 7.179556897459522702e+01 1.519400000000000000e+04
3.342583464173539021e+00 6.761530630849641454e+01 1.645400000000000000e+04
3.435721796515438964e+00 6.502308499475340398e+01 1.715400000000000000e+04
3.528640552821692644e+00 6.249132267601007129e+01 1.826600000000000000e+04
3.620705016047159663e+00 5.901033999999999935e+01 1.875000000000000000e+04
3.713051435939641376e+00 5.757042601561727935e+01 2.023400000000000000e+04
3.806600900907894491e+00 5.479421911421911062e+01 2.145000000000000000e+04
3.899856281871081798e+00 5.205111100992623818e+01 2.196200000000000000e+04
3.992461366611169016e+00 4.889994991901799182e+01 2.346200000000000000e+04
4.085101191409068022e+00 4.738626154230097143e+01 2.404200000000000000e+04
4.178281979563425175e+00 4.467793686888152394e+01 2.594600000000000000e+04
4.271026035647396135e+00 4.335462611991729887e+01 2.611800000000000000e+04
4.362660890543303971e+00 4.152693048789355146e+01 2.750600000000000000e+04
4.455056883123517331e+00 3.957282133764535814e+01 2.906600000000000000e+04
4.548567927819362922e+00 3.813283251231526805e+01 3.045000000000000000e+04
4.642183583187295071e+00 3.632589707642870280e+01 3.174200000000000000e+04
4.734802013367645834e+00 3.486577131782945571e+01 3.225000000000000000e+04
4.827364789614712492e+00 3.365620072992700784e+01 3.425000000000000000e+04
4.920584751034896343e+00 3.213426200146668776e+01 3.545400000000000000e+04
5.013359510120526608e+00 3.035899503211286188e+01 3.643400000000000000e+04
5.105449538278729271e+00 2.912273101215434323e+01 3.768200000000000000e+04
5.197645189101115726e+00 2.810505102560187396e+01 3.929400000000000000e+04
5.291033756138419086e+00 2.685083643122676733e+01 4.142600000000000000e+04
5.384218090232210763e+00 2.618415406741786811e+01 4.206600000000000000e+04
5.476570653926369658e+00 2.515150034490687503e+01 4.349000000000000000e+04
5.569480803324708518e+00 2.425043488249967183e+01 4.570200000000000000e+04
5.662608524607503746e+00 2.364451365956169582e+01 4.663400000000000000e+04
5.755555773859691193e+00 2.281979600032953215e+01 4.855400000000000000e+04
5.847514763877561528e+00 2.184488950276243102e+01 4.887000000000000000e+04
5.939621418456699331e+00 2.096713882530938378e+01 5.155400000000000000e+04
6.033286373874003239e+00 2.007488445183952663e+01 5.409000000000000000e+04
6.126578422543857982e+00 1.926935389586478564e+01 5.431400000000000000e+04
6.219411309593654735e+00 1.835960727464417630e+01 5.691000000000000000e+04
6.312091111829910339e+00 1.781074727740858066e+01 5.748200000000000000e+04
6.405038486997678859e+00 1.703373861874443307e+01 6.062600000000000000e+04
6.498048872331137815e+00 1.656439115446198329e+01 6.120600000000000000e+04
6.590076512087833294e+00 1.604555897394917707e+01 6.257000000000000000e+04
6.682696879532136869e+00 1.544918226076373102e+01 6.573000000000000000e+04
6.775704740344614230e+00 1.497379978556218738e+01 6.668600000000000000e+04
6.868912398002730235e+00 1.441007184567706467e+01 6.969800000000000000e+04
6.961799457856091777e+00 1.381652707565761240e+01 7.002600000000000000e+04
7.054359720239174791e+00 1.329524475572540076e+01 7.274600000000000000e+04
